"Latin","Français"
"qui s'etaient retirés","qui s'étaient retirés"
"sur la montagne,","sur la montagne,"
"conspirati id,","ayant aperçu cela,"
"cœperunt instare rursus","commencèrent à nous presser de nouveau"
"et redintegrare proelium.","et à renouveler le combat."
"Romani intulerunt","Les Romains portèrent-contre l'ennemi"
"bipartito","de-deux-côtés"
"signa conversa :","leurs étendards tournés contre eux :"
"prima ac secunda acies,","le premier et le second rang,"
"ut resisteret victis","pour qu'il résistât aux ennemis vaincus"
"et submotis;","et repoussés;"
"tertia,","le troisième,"
"ut exciperet venientes.","pour qu'il recût les ennemis arrivant."
"XXVI. Pugnatum est ita","XXVI. Il fut combattu ainsi"
"diu atque acriter proelio ancepiti.","longtemps et vivement dans un combat double."
"Quum non possent sustinere dinitius impetus nostrorum, alteri se receperunt in montem, ut cooperant; alteri se contulerunt ad impedimenta et suos carros.","Comme ils ne pouvaient pas soutenir plus longtemps les attaques des nôtres, les uns se retirèrent sur la montagne, comme ils avaient commencé à le faire; les autres se transportèrent vers leurs bagages et leurs chariots."
"Nam hoc proelio toto, quum pugnatum sit a septima hora ad vesperum, nemo potuit videre hostem aversum.","Car dans ce combat tout-entier, quand on avait combattu depuis la septième heure du jour jusqu'au soir, personne ne put voir l'ennemi détourné (tournant le dos)."
"Pugnatum est etiam ad noctem multam ad impedimenta, propterea quod objecerant carros pro vallo, et e loco superiore conjiciebant tela in nostros venientes, et nonnulli inter carros rotasque subjiciabant mataras ac tragulas, vulnerabantque nostros.","On combattit encore jusqu'à la nuit avancée auprès des bagages, propterea quod objecerant carros pro vallo, et e loco superiore conjiciebant tela in nostros venientes, et nonnulli inter carros rotasque subjiciabant mataras ac tragulas, vulnerabantque nostros."
"Quum pugnatum esset du, nostri potiti sunt impedimentis castrisque.","Comme on avait combattu longtemps, les nôtres s'emparèrent des bagages et du camp."
"Ibi filia Orgetorigis, atque unus e filis captus est.","La fille d'Orgétorix fut prise, et un de ses fils fut pris."
"Centum triginta millia hominum circum environ","Cent trente milliers d'hommes environ"
"superfuert ex eo proelio, ieruntque continenter tota ea nocte; itinere intermisso nullam partem noctis, quarto die pervenerunt in fines Lingonum, quum nostri,","superfuert ex eo proelio, ieruntque continenter tota ea nocte; itinere intermisso nullam partem noctis, quarto die pervenerunt in fines Lingonum, quum nostri,"
"survéquant à ce combat, et marcherent sans-interruption toute cette nuit-là; la marche n'ayant été interrompue pendant aucune partie de la nuit, le quatrième jour ils parvinrent au territoire des Lingons, tandis que les nôtres,","survéquant à ce combat, et marcherent sans-interruption toute cette nuit-là; la marche n'ayant été interrompue pendant aucune partie de la nuit, le quatrième jour ils parvinrent au territoire des Lingons, tandis que les nôtres,"
"et propter vulnera militum, et propter sepulturam occisorum, morati triduum, non potuissent sequi eos.","et propter vulnera militum, et à-canse-des blessures des soldats, et à-canse-de la sépulture des tués, ayant tardé trois-jours, n'avaient pu suivre eux."
"Caesar misit ad Lingonas litteras nantiosque, ne juvarent eos frumento, neve alia re : qui si javissent, se habiturum eodem loco, quo Helvetios.","César envoya aux Lingons des lettres et des messagers, pour qu'ils n'aidassent pas eux de blé, on (et) pourquoi ils ne les aidassent pas d'autre s'ils les avaient aidés, il disait lui-même devoir les tenir au même rang, auquel il tenait les Helvétions."
"Ipse, tridno intermisso, cepit sequi eos cum omnibus copiis.","Lui-même, trois-jours ayant été laissés-en-inter- commencé à poursuivre eux avec toutes ses troupes."
"XXVII. Helvetii, adducti inopia omnium rerum, miserunt legatos ad eum de deditione.","XXVII. Les Helvétiens, amenés (déterminés) par le manque de toutes choses, envoyèrent des députés vers lui touchant leur reddition."
"Qui quum convenissent in itinere, seque projecissent ad pedes locutique suppliciter flentes petissent pacem, atque jussisset eos exspectare suum adventum in eo loco, quo essent tum, paruerunt.","Comme ceux-ci avaient trouvé lui en marche, et s'étaient jetés à ses pieds et ayant parlé d'une-fois-suppliante pleurant avaient demandé la paix, et qu'il avait ordonné eux attendre son arrivée dans ce lieu, dans lequel ils étaient alors, ils obéirent."
"Postquam Caesar pervenit eo, poposcit obsides, arma, poposcit obsides, arma, servos qui perfugissent ad eos.","Lorsque César il arrivé là, il demanda des otages, leurs armes, les esclaves qui s'étaient réfugiés vers eux."
"Dum ea conquiruntur et conferuntur, nocte intermissa, circiter sex millia hominum ejus pagi, qui appellatur Urbigenus, sive perterriti timore ne armis traditis afficerentur supplicio, sive inducti spe salutis, quod, in tanta multitūdine dediticiorum,","Tandis que ces objets sont recherchés et sont réunis, la nuit ayant été laissée-en-intervalle, environ six milliers d'hommes de cette bourgade, qui est appelée bourgade d'Urba, soit frappés de la crainte que leurs armes ayant été livrées ils ne fussent accablés du supplice, soit alléchés par l'espoir du salut, parce que, dans une si-grande multitude de gens faisant-soumission,"
"existimarent suam fugam","ils présument leur fuite"
"posse aut occultari","pouvoir ou être cachée"
"aut omnino ignorari,","ou absolument être ignorée,"
"egressi","étant sortis"
"ex castris Helvetiorum","du camp des Helvètiens"
"prima nocte,","au commencement-de la nuit,"
"contenderunt ad Rhenum","se dirigèrent vers le Rhin"
"finesque Germanorum.","et le territoire des Germains."
"XXVIII. Ubi Caesar","XXVIII. Dès que César"
"resciit quod,","eut appris cela,"
"imperavit his","il commanda à ceux"
"per fines quorum ierant","par le territoire desquels ils avaient marché"
"uti conquirerent,","qu'ils les recherchassent,"
"et reducterent,",et les ramenassent.
"si vellent esse","s'ils voulaient être"
"sibi;","juste devant lui-"
"habuit in numero hostium","il tint au nombre des ennemis"
"reductos;","eux raménés;"
"accept in deditionem","il reçut à soumission"
"omnes aliquos,","tous les autres,"
"obsidibus, armis,","des otages, les armes,"
"perfugis traditis.","les transfuges ayant été livrés."
"Jussit Helvetios,","Il ordonna les Helvètiens,"
"Tulingos, Latobrigos,","les Tulinges, les Latobriges,"
"reverti in suos fines,","retourner sur leur territoire,"
"unde profecti erant,","d'ou ils étaient partis,"
"et quod, omnibus fructibus","et parce que, toutes les récoltes"
"amissis,","ayant été perdues,"
"nihil erat domi,","rien n'était à eux dans leur demeure,"
"quo tolerarent famem,","avec quoi ils pussent supporter la faim,"
"imperavit Allobrogibus","il commanda aux Allobroges"
"uti facerent iis","qu'ils fissent (fournissent) à eux"
"copiam frumenti ;","provision de blé;"
"jussit ipsos","il ordonna eux-mêmes"
"restituere oppida vicosque","rétablir les villes et les bourgs"
"quos incenderant.","qu'ils avaient incendiés."
"Fecit id ea ratione maxime,","Il fit cela par cette raison surtout,"
"quod noluit eum locum,","qu'il ne-vouloit-pas cette contrée,"
"unde Helvetii discesserant,","d'ou les Helvètiens s'étaient éloignés,"
"vacare;","rester-inoccupée;"
"ne propter bonitatem agrorum","de peur que à-cause-de la bonté des terres"
"Germani,","les Germains,"
"quiincolunttrans Rhenum,","qui habitaient au dela du Rhin,"
"transirent e suis finibus","ne passassent de leur territoire"
"in fines Helvetiorum,","sur le territoire des Helvètiens,"
"et essent fluitimi","et ne fussent limitrophes"
"provinciæ Galliæ","à la province de Gaule"
"Allobrogibusque.","et aux Allobroges."
,
"Concessit Etnis petentibus","Il accorda aux Éduens le demandant"
"quod erant cogniti","parce qu'ils étaient connus"
"quibus illi dederunt agros,",auxquels ceux-la (les Éduens) donnèrent
"quosque postea","et lesquels dans-la-suite"
"receperunt","ils admirant"
"in conditionem parem","à une condition pareille"
"juris ac libertatis","de droit et de liberté"
"atque ipsi erant.","dans laquelle aussi eux-mêmes étaient."
"XXIX. Tabulæ","XXIX. Des tables"
"confectæ litteris Græcis","confectionnées en caractères grecs"
"repertæ sunt","furent trouvées"
"in castris Helvetiorum,","dans le camp des Helvètiens,"
et relata ad Cæsarem;,"et rapportées à César,"
"in quibus tabulis","sur lesquelles tables"
"ratio confecta erat","le compte avait été fait"
"nominatim,","nominalement,"
"qui numerus,",qui nombre
"qui possent ferre arma,",de gens qui pouvaient porter les armes
"exisset domo eorum;","était sorti de la demeure d'eux;"
"et item separatim pueri,","et de même séparément les enfants,"
"senes mulieresque.","les vieillards et les femmes."
"Quarum rerum omnium","Desquelles choses toutes-ensemble"
"summa erat,","le total était,"
"ducenta","deux-cent"
tria et sexaginta millia,"trois et soixante (soixante-trois) milliers,"
"capitum Helvetiorum,","de têtes helvètiennes,"
"sex et triginta millia","six et trente (trente-six) milliers"
"Tulingorum,","de Tulinges,"
"Latobrigorum,","de Latobriges,"
"tria et viginti Rauracorum,","trois et vingt (vingt-trois) de Rauraques,"
"duo et triginta Boiorum;","deux et trente (trente-deux) de Boiens;"
"ex his,","parmi ceux-ci,"
"qui possent ferre arma,","ceux qui pouvaient porter les armes,"
"ad duo et nonaginta millia.","vers deux et quatre-vingt-dix milliers."
"Summa omnium fuerunt","Le total de tous furent (fut)"
"ad trecenta","vers trois-cent"
"octo et sexaginta millia.","huit et soixante (soixante-huit) milliers."
"Numerus eorum","Le nombre de ceux"
"qui redierunt domum,","qui retournaient dans leur demeure,"
"censu habito,","le recensement ayant été tenu (fait),"
"ut Cæsar imperaverat,","comme César l'avait commandé,"
"repertus est","fut trouvé"
"centum et decem millium.","de cent et dix milliers."
"XXX. Bello Helvetiorum","XXX. La guerre des Helvétiens"
"confecto, legati Galliæ fere totius, principes civitatum, convenerunt ad Cæsarem gratulatum :","étant achevée, des députés de la Gaule des députés de la Gaule presque tout-entière, principaux des cités, se rassemblèrent auprès de César pour le féliciter, disant :"
"« Sese intelligere, tametsi, pro veteribus injuriis Helvetiorum populi Romani, repetisset ab iis penas bello, tamen eam rem accidisse non minus ex usu terræ Galliæ quam populi Romani; propterea quod Helvetii reliquissent suas domos, rebus florentissimis, eo consilio, ut inferrent bellum toti Galliæ, potirenturque imperio, deligerentque domicilio ex magna copia locum quem jadicassent opportunissimum ac fructuosissimum ex omni Galliæ, haberentque stipendiarias reliquas civitates. »","« Eux-mêmes comprenant, quoique, pour les anciennes injures des Helvétiens du (faites au) peuple romain, il eût réclamé d'eux des satisfactions par la guerre, par la guerre, cependant ce fait être arrivé non moins dans l'intérêt de la terre de Gaule que du peuple romain; parce que les Helvétiens avaient quitté leurs demeures, laurs affaires étant-tres-florissantes, dans ce dessein, qu'ils apportassent la guerre à toute la Gaule, et s'emparassent de la domination, et choisissent pour leur habitation sur une grande quantité de contrées le lieu qu'ils auraient jugé le plus commode et le plus fertile de toute la Gaule, et eussent pour tributaires le reste-des cités. »"
"Petierunt « Ut licetet sibi indicere in diem certam concilium totius Galliæ, facereque id voluntate Cæsaris : sese habere quasdam res, quas vellent petere ab eo ex communi consensu. »","Ils demandèrent « Qu'il fût permis à eux d'indiquer pour un jour fixé une assemblée de toute la Gaule, et de faire cela avec l'agrément de César : disant eux-mêmes avoir certaines choses, qu'ils voulaient demander à lui d'un commun accord. »"
"Ea re permissa, constituerunt diem concilio, et anzerunt inter se jurejurando","Cette affaire étant permise, ils fixèrent un jour pour l'assemblée, et ils sanctionnèrent entre eux par un serment"
"ne quis enuntiaret, nisi quibus mandatum esset communi consilio.","que quelqu'un ne révélât rien, sinon ceux à qui cela aurait été mandé d'une résolution commune."
"XXXI. Eo concilio dimisso, iidem principes civitatum, qui ante fuerant ad Cæsarem, reverterunt petieruntque uti liceret sibi agere secreto cum eo in occulto de salute sua omniumque.","XXXI. Cette assemblée ayant été congédiee, ayant été congediée, les mêmes principaux des cités, qui auparavant avaient été près de César, revinrent et demanderent qu'il fût permis à eux-mêmes de traiter secrètement avec lui dans un lieu caché"
"Ea re impetrata, omines flentes sese projecerunt ad pedes Cæsari:","du salut d'eux-mêmes et de tous. Cette chose ayant été obtenue, tous pleurant se jetèrent aux pieds à (de) César, disant :"
"« Se contendere et laborare non minus id, ne ea quæ dixissent enuntiarentur, quam uti imperarent ea quæ vellent, propterea quod, si enuntiatum esset, viderent se venturos in cruciatum summum. »","« Eux-mêmes demander-instamment et prendre-en-souci non moins ceci; que ces (les) choses qu'ils auraient dites ne fussent pas divulguées, que ceci, qu'ils obtinssent ce qu'ils voulaient, parce que, si cela avait été révélé, ils voyaient eux-mêmes devoir arriver à un tourment extrême. »"
"Divitiacus Eduus locutus est pro his:","Divitiacus l'Éduen parla pour ceux-ci et dit :"
"« Duas factiones esse totius Galliæ; Eduos tenere principatum alterius harum, Arvernos alterius. »","« Deux partis être de (dans) toute la Gaule; les Éduens occuper le premier-rang de l'un de ceux-ci, et les Arvernes de l'autre. »"
"Quin nai contenderent tantopere inter se de potentatu multos annos, factum esse uti Germani arcesserentur mercede ab Arvernis Sequanisque.","Comme ceux-ci luttaient si-grandement entre eux pour la souveraine-puissance depuis de nombreuses années, avoir été fait (être arrivé) que les Germains fussent appelés avec salaire par les Arvernes et les Séquaniens."
"Primo quindecim millia horum circiter transisse Rhenum;","D'abord quinze milliers de ceux-ci environ traverser le Rhin;"
"quindecim millia horum circiter transisse Rhenum;","quinze milliers de ceux-ci environ traverser le Rhin;"
"posteaquam homines feri ac barbari","après que ces hommes féroces et barbares"
"adamassentagros et cultum","s'étaient épris des terres et de la vie"
"et copias Gallorum,","et des richesses des Gaulois,"
"plures transductos;","de plus nombreux avoir été amenés-au-"
"nunc esse in Gallia","maintenant eux être en Gaule"
"ad numerum","jusqu'au nombre"
"centum et viginti millium;","de cent et vingt milliers;"
"Eduos clientesque eorum","les Éduens et les clients d'eux"
"contendisse armis cum his","avoir lutté par les armes avec ceux-ci"
"semel iterumque;","une-fois et une-seconde-fois;"
"pulsos","mais ayant été battus"
"accepisse","avoir regu (essuyé)"
"magnam calamitatem,","un grand désastre,"
"amississe","avoir perdu"
"omnem nobilitatem,","toute leur noblesse,"
"omnem senatum,","tout leur sénat,"
"omnem equitatum.","toute leur cavalerie."
"Quibus proeliis","Par lesquels combats"
"calamitatibusque","et désastres"
"fractos,","brisés,"
"qui ante","euz qui auparavant"
"potuissent plurimum","avaient pu beaucoup"
"in Gallia,","dans la Gaule,"
"et sua virtute,","et par leur propre valeur,"
"et hospitio","et par les relations-d'hospitalité"
"atque amicitia,",et l'amitié
"populi Romani,","du peuple romain,"
"coactos esse dare obsides","avoir été forcés de donner des otages"
"Sequanis,","aux Séquaniens,"
"nobilissimos civitatis,","les plus nobles de la cité,"
"et obstringere civitatem","et de lier la cité"
"jurejurando,","par un serment,"
"sese neque repetituros","eux-mêmes et ne devoir pas réclamer"
"obsides,","les otages,"
"neque imploraturos","et ne devoir pas implorer"
"auxilium","du secours"
"a populo Romano,","du peuple romain,"
"neque recusaturos","et ne pas devoir refuser"
"quominus essent perpetuo","qu'ils ne fussent éternellement"
"sub ditione","sous la domination"
"atque imperio illorum.","et le commandement de ceux-là (les Sé"
"Se esse unum","Lui-même être le seul"
"ex omniciavitatem,","de toute la cité des Éduens,"
"qui non potuerit adduci","qui n'avait pu être amené"
"ut juraret,","à ce qu'il jurât,"
"ant daret suos liberos","ou donnât ses enfants"
"obsides.","comme otages."
"Ob eam rem","Pour ce fait"
"se profugisse ex civitate et venisse Romam","lui-même s'être enfui de la cité et être venu à Rome"
"ad senatum","vers le sénat"
"postulatum auxilium,","solliciter du secours,"
"quod solus tenereetur","parce que seul il était tenu (lié)"
"neque jurejurando","ni par serment"
"neque obsidibus.","ni par otages."
"Sed pejus accidisse","Mais pis était arrivé"
"Sequanis victoribus","aux Séquaniens victorieux"
"quam Æduis victis,","qu'aux Éduens vaincus,"
"propterea quod Ariovistus,","parce qu'Arioviste,"
"rex Germanorum,","roi des Germains,"
"consedisset","s'était établi"
"in finibus eorum","sur les terres d'eux"
"occupavissetque","et s'était enparé"
"tertiam partem","de la troisième partie"
"agri Sequani,","du territoire séquanien,"
"qui esset optimus","qui était le meilleur"
"totius Galliæ,","de toute la Gaule,"
"et nunc jubaret","et maintenant ordonnait"
"Sequanos decedere","les Séquaniens se retirer"
"de altera tertia parte,",de la seconde troisième partie (du second
"propterea quod","parce que"
"paucis mensibus ante","peu-de mois auparavant"
"quatuor et viginti millia","quatre et vingt (vingt-quatre) milliers"
"hominum Harudum","d'hommes harudes"
"venissent ad eum,","étaient venus vers lui,"
"quibus locus ac sedes","auxquels une place et une demeure"
"pararentur.","devaient être préparées."
"Futurum esse paucis annis","Devoir être (il arriverait) en-peu-d'années"
"uti omnes pellerentur","que tous les Gaulois seraient chassés"
"ex finibus Galliæ","du territoire de la Gaule"
"aique omnes Germani","et que tous les Germains"
"transirent Rhenum :","passeraient le Rhin :"
"neque enim Gallicum","et en effet le territoire gaulois"
"conferendum esse","me devoir pas être comparé"
"cum agro Germanorum,","avec le territoire des Germains,"
,
"Ariovistum autem,","Or Arioviste,"
"ut semel vicerit proelio","des qu'une-fois il avait vaincu en un combat"
"copias Gallorum,","les troupes des Gaulois,"
"quod proelium factum sit","lequel combat avait été fait (livre)"
"ad Magetobriam, imperare superbe et crudeliter","près de Magétobria, commander orgueilleusement et cruellement"
"poscere obides liberos","demander comme otages les enfants"
"liberos ejusque nobilissimi, et edere in eos omniam exempla crueciatusque, si qua res non facta sit ad nutum aut ad voluntatem ejus.","les enfants de tout Gaulois le plus noble, et commettre contre eux tous les exemples (genres) et les tourments (de tourments), si quelque chose n'avait pas été faite au premier signe ou à la volonté de lui."
"Esse hominem barbarum, iracandum, temerarium; imperia ejus non possesu-tineri diutius.","Esse hominem barbarum, iracandum, temerarium; imperia ejus non possesu-tineri diutius."
"Nisi si quid auxilii sit in Cesare populoque Romano, idem quod Helvetii fecerint faciendum esse omnibus Gallis,","Nisi si quid auxilii sit in Cesare populoque Romano, idem quod Helvetii fecerint faciendum esse omnibus Gallis,"
"at emigrent domo, petant aliud domicilium, alias sedes, remotas a Germanis, experianturque fortunam, quæcumque accidat.","at emigrent domo, petant aliud domicilium, alias sedes, remotas a Germanis, experianturque fortunam, quæcumque accidat."
"Si hæc enuntiata sint Ariovisto, non dubitare quin sumat supplicium gravisimum de omnibus obsidibus qui sint apud eum.","Si hæc enuntiata sint Ariovisto, non dubitare quin sumat supplicium gravisimum de omnibus obsidibus qui sint apud eum."
"Cesarem posse vel auctoritate sua atque exercitus, vel recenti victoria, vel nomine populi Romani, deterere ne multitudo major Germanorum transducatur Rhenum; posseque defendere omnem Galliam ab injuria Ariovisti.","Cesarem posse vel auctoritate sua atque exercitus, vel recenti victoria, vel nomine populi Romani, deterere ne multitudo major Germanorum transducatur Rhenum; posseque defendere omnem Galliam ab injuria Ariovisti."
"César pouvoir soit par l'autorité de-lui-même et de son armée, soit par sa récente victoire, soit par le nom du peuple romain, empêcher-par-la-terreur qu'une multitude plus grande de Germains ne soit amée-au-dela du Rhin ; et pouvoir défendre toute la Gaule de la tyrannie d'Arioviste.","César pouvoir soit par l'autorité de-lui-même et de son armée, soit par sa récente victoire, soit par le nom du peuple romain, empêcher-par-la-terreur qu'une multitude plus grande de Germains ne soit amée-au-dela du Rhin ; et pouvoir défendre toute la Gaule de la tyrannie d'Arioviste."
"XXXII. Hac oratione habita ab Divitiaco, omnes qui aderant cœperunt magno iecta petere auxilium a Cæsare.","XXXII. Hac oratione habita ab Divitiaco, omnes qui aderant cœperunt magno iecta petere auxilium a Cæsare."
"Cæsar animadvertit Sequanos unos ex omnibus facere nihil earum rerum, quas ceteri facerent; sed tristes, capite demisso, intueri terram.","César remarqua les Séquaniens seuls de tous facere nihil earum rerum, quas ceteri facerent; sed tristes, capite demisso, intueri terram."
"Miratus quæsiit ex ipsis anæ esset causa ejus rei. Sequani respondere nihil, sed taciti permanero in eadem tristitia.","Miratus quæsiit ex ipsis anæ esset causa ejus rei. Sequani respondere nihil, sed taciti permanero in eadem tristitia."
"Quum quæreret ab is sæpius, neque posset omnino exprimere ullam vocem, idem Divitiacus Eduus respondit:","Quum quæreret ab is sæpius, neque posset omnino exprimere ullam vocem, idem Divitiacus Eduus respondit:"
"Fortunam Sequanorum esse miseriorem gravioremque præ reliquorum hoc quod soli auderent ne in occulto quidem queri,","Fortunam Sequanorum esse miseriorem gravioremque præ reliquorum hoc quod soli auderent ne in occulto quidem queri,"
"hoc quod soli auderent ne in occulto quidem queri,","hoc quod soli auderent ne in occulto quidem queri,"
"velut si adesset coram :","velut si adesset coram :"
"proprierea quod facultas fugee","proprierea quod facultas fugee"
"daretur tamen reliquis ;","daretur tamen reliquis ;"
"omnes vero cruciatus perferendi essent Sequanis, qui recipissent Ariovistum intra suos fines,","omnes vero cruciatus perferendi essent Sequanis, qui recipissent Ariovistum intra suos fines,"
"quorum omnia oppida essent in potestate ejus. »","quorum omnia oppida essent in potestate ejus. »"
"XXXIII. His rebus cognitis, Cesar confirmavit verbis animos Gallorum,","XXXIII. His rebus cognitis, Cesar confirmavit verbis animos Gallorum,"
"étant connus,","étant connus,"
"César rassura par ses paroles les esprits des Gaulois,","César rassura par ses paroles les esprits des Gaulois,"
"pollicitusque est eam rem","et promit cette affaire"
"futurum curæ sibi:","devoir être à souci à lui-même :"
"Se habere magnam spem","il dit * Lui-même avoir grand espoir"
"Ariovistum, adductum","qu'Ariovisté, amène (déterminé)"
"et beneficio suo","et par le bienfait de-lui-même (César)"
"et auctoritate,","et par son autorité,"
"facturum finem injuriis.","devoir faire (mettrait) fin à ses injurie-"
"Hac oratione habita,","Ce discours ayant été tenu,"
"dimisit concilium;","il congédia l'assemblée ;"
"et secundum ea","et conformément-à ces choses"
"multæ res hortabantur eum","beaucoup-de circonstances exhortaient"
"quare putaret eam rem","pour qu'il pensât cette affaire"
"cogitandam","devoir être réfléchie"
"et suspiciendam sibi,","et devoir être entreprise à (par) lui,"
"imprimis quod videbat","principalement parce qu'il voyait"
"Eduos,","les Eduens,"
"appellatos sæpenumero","appelés fréquemment"
"ab senatu","par le sénat"
"fratres consanguineosque,","frères et parents,"
"teneri in servitute","être tenus dans la servitude"
"atque in ditione","et dans la domination"
"Germanorum,","des Germains,"
"intelligebatque","et comprenait"
"obsides eorum","des otages d'eux"
"esse apud Ariovistum","être auprès d'Ariovisté"
"ac Sequanos :","et des Sequaniens :"
"quod arbitrabatur","chose qu'il estimait"
"esse turpissimum sibi","être très-honteuse pour lui-même"
"et reipublicæ","et pour la république"
"in imperio tanto","dans (sous) l'empire si-grand"
"populi Romani.","du peuple romain."
"Videbat autem","Or il voyait"
"periculorum","qu'il était dangereux"
"populo Romano","pour le peuple romain"
"Germanos","les Germains"
"consuescere paulatim","s'habituer peu-à-peu"
"transire Rhenum","à passer le Rhin"
"et magnam multitudinem","et une grande multitude"
"eorum","d'eux"
,
"venire in Galliam ;","venir dans la Gaule ;"
"neque existimabat","et il ne pensait pas"
"homines feros ac barbares","des hommes féroces et barbares"
"temperaturos sibi quin,",devoir modérer eux-mêmes de façon qu'il
"quum occupassent","quand ils se seraient emparrés"
"omnem Galliam,","de toute la Gaule,"
"exirent,","ils ne sortissent pas,"
"ut Cimbri Teutonique","comme les Cimbres et les Teutons"
"si non impetraret,","s'il n'obtenait pas cela,"
"sese, quoniam senatus,","lui-même, puisque le sénat,"
"M. Messala, M. Pison étant consuls,","M. Messala et M. Pison étant consuls,"
"[sulibus,","avait été-d'avis que,"
"quicumque obtinetet","quel-que-fût-celui-qui occupât"
"provinciam Galliam,","la province de Gaule,"
"defenderet","il défendit les Éduens"
"ceterosque amicos","et les autres amis"
"populi Romani,","du peuple romain,"
quod facere posset,"qu'il pourrait faire 

"sese non neglecturum","lui-même ne devoir pas négliger,"
"injurias Éduorum. »","les injures des Éduens. »"
"XXXVI. Ariovistus respondit ad hæc:","XXXVI. Ariovistus répondit à ces paroles :,"
"« Jus belli esse","« Le droit de la guerre être,"
"ut qui vicissent","que ceux qui avaient vaincu,"
"imperarent","commandassent,"
"quemadmodum vellent","comme ils voulaient,"
"iis quos vicissent;","à ceux qu'ils avaient vaincus;,"
"item populum Romanum","même le peuple romain,"
"consuesse imperare","avoir-coutume de commander,"
"non ad præscriptionem","non selon la prescription,"
alterius"
"si non fecissent id, nomen fraternum populi Romani afuturum longe iis.",s'ils n'avaient pas fait (ne faisaient pas) le nom de-frères du peuple romain devoir être loin (inutile) pour eux.
"Quod Cæsar denuntiaret sibi, se non neglecturum injurias Æduorum, neminem contendisse secum sine sua pernicie.","Quant à ce que Cæsar déclarait à lui, lui-même (César) ne devoir pas négliger les injures des Eduens, personne n'avoir lutté avec lui (Arioviste) sans sa perte (sans se perdre)."
"Congrederetur, quum vellet; intellecturum quid possent virtute Germani invicti, executatissimi in armis, qui inter quatuordecim annos non sublissent tectum.","Qu'il en-vint-aux-mains, quand il voudrait; lui devoir comprendre (il comprendrait) ce que pouvaient par la valeur les Germains invaincus, très-exercés dans les armes, et qui pendant quatorze ans n'étaient pas entrés-sous un toit."
"XXXVII. Eodem tempore haec mandata referbantur Cæsari, referbantur Cæsari, et legati veniebant ab Æduis et a Treviris :","XXXVII. Dans le même temps ces instructions étaient rapportées à César, étaient rapportées à César, et des députés venaient de chez les Éduens et de chez les Trévires :"
"quod Harudes, qui transportati erant nuper in Galliam, popularentur fines eorum :","parce que les Harudes, qui avaient été transportés récemment en Gaule, ravageaient le territoire d'eux;"
"Sese ne potuisse quidem redimere pacem Ariovisti obsidibus datis. »","ils disaient « Eux n'avoir pas même pu acheter la paix d'Arioviste par les otages donnés. »"
"Treviri autem, centum pagos Suevorum consedisse ad ripas Rheni, qui conarentur transire Rhenum ;","D'antre-part les Trévires annonçaient, cent bourgades des Sueves s'être assises sur les bords du Rhin, lesquelles essayaient de passer le Rhin ;"
fratres Nasuam et Cimberium,"deux frères, Nasua et Cimberius,"
"præesse iis.","être-à-la-tête d’eux."
"Quibus rebus","Par lesquels faits"
"vehementer commotus,","fortement ému,"
"Cæsar existimavit","César jugea"
"maturandum sibi,","diligence-devoir-être-faite à (par) lui,"
"ne, si nova manus","de peur que, si la nouvelle troupe"
"Suevorum","des Suèves"
"esse conjunxisset","s’était jointe"
"cum vateribus copiis","avec les anciennes forces"
Ariovisti,"d’Arioviste,"
"posset resisti minus facile.","ilne pût-leur-être-résisté moins facilement."
"Itaque re frumentaria","Aussi une provision de-blé"
"comparata","ayant été amassée"
"celerrime quam potuit,","le plus vite qu’il put,"
"contendit ad Ariovistum","il se dirigea vers Arioviste"
"magnis itineribus.","à grandes marches."
"XXXVIII. Quum","XXXVIII. Lorsque"
"processisset viam tridui,","il s’était avancé d’une route de-trois-jours,"
"nuntiatum est ei","il fut annoncé à lui"
"Ariovistum","Arioviste"
"cum omnibus suis copiis","avec toutes ses troupes"
"contendere","se diriger"
"ad occupandum","pour s’emparer"
"Vesontionem,","de Besançon,"
"quod est","qui est"
"maximum oppidum","la plus grande ville"
"Sequanorum,","des Séquaniens,"
"processisseque suis finibus","et s’être avancé loin de ses frontières"
"viam tridui.","d’une route de trois-jours."
"Cæsar existimabat","César pensait"
"præcavendum sibi","devoir être pris-garde à lui"
"magno opere","avec grand soin"
"ne id accideret :","que cela ne rrrivât pas :"
"namque summa facultas","car une très-grande abondance"
"omnium rerum","de toutes les choses"
"que erant usui ad bellum","qui étaient à utilité pour la guerre"
"erat in eo oppido ;","était dans cette place ;"
"idque muniebatur sic","et cette place était fortifiée ainsi"
"natura loci,","par la nature du lieu,"
"ut daret","qu’elle donnait"
"magnam facultatem","une grande facilité"
"ad ducendum bellum,","pour prolonger la guerre,"
"propterea quod","parce que"
"flumen Dubis,","le fleuve du Doubs,"
"ut circumductum circino,","comme mené-tout-autour par un compas,"
"cingit oppidum","ceint la ville"
"paene totum :","presque tout-entière :"
"mons magna altitudine","une montagne d'une grande hauteur"
"quod est","qui est"
"sexcentorum pedum","de six-cents pieds"
"non amplius,","et non davantage,"
"qua flumen intermittit,","par ou le fleuve laisse-un-intervalle,"
"ita ut ex utraque parte","de-telle-sorte que de l'un-et-l'autre côté"
"ripae fluminis","les rives du fleuve"
"contingant radices montis.","touchent les racines de la montagne."
"Murus circumdatus","Un mur mené-tout-autour"
"efficit hunc arcem","fait de cette montagne une citadelle"
et conjungit cum oppido.,"et la réunit avec la ville,"
